MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LandSlope,Condition1,BldgType,OverallQual,OverallCond,YearBuilt,CentralAir,GarageArea,PoolArea,YrSold,SaleType,SalePrice
20,6.0,75.0,9742,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2002,1.0,534,0,2008,2.0,230000
120,8.0,44.0,4224,2.0,1.0,1.0,1.0,3.0,4.0,5,7,1976,1.0,572,0,2007,2.0,129900
20,6.0,110.0,14230,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,890,0,2009,2.0,256300
20,6.0,60.0,7200,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1951,1.0,576,0,2010,2.0,134800
20,6.0,98.0,11478,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,772,0,2010,2.0,306000
20,6.0,47.0,16321,2.0,2.0,1.0,1.0,3.0,1.0,5,6,1957,1.0,319,0,2006,2.0,207500
30,8.0,60.0,6324,2.0,2.0,1.0,1.0,2.0,1.0,4,6,1927,0.0,240,0,2008,2.0,68500
20,6.0,85.0,11049,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,484,0,2008,2.0,179900
20,6.0,70.0,10552,2.0,2.0,1.0,1.0,3.0,1.0,5,5,1959,1.0,447,0,2010,2.0,165500
120,6.0,60.0,7313,2.0,1.0,1.0,1.0,3.0,4.0,9,5,2005,1.0,556,0,2007,2.0,277500
60,6.0,108.0,13418,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2004,1.0,691,0,2006,2.0,309000
20,6.0,112.0,10859,2.0,1.0,1.0,1.0,3.0,1.0,5,5,1994,1.0,672,0,2009,2.0,145000
20,6.0,74.0,8532,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1954,1.0,498,0,2009,2.0,153000
20,6.0,68.0,7922,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1953,1.0,246,0,2010,2.0,109000
90,6.0,65.0,6040,2.0,1.0,1.0,1.0,3.0,3.0,4,5,1955,0.0,0,0,2008,2.0,82000
20,6.0,84.0,8658,2.0,1.0,1.0,1.0,3.0,1.0,6,5,1965,1.0,440,0,2006,2.0,160000
20,6.0,115.0,16905,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1959,1.0,308,0,2007,2.0,170000
20,6.0,70.0,7945,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1959,1.0,300,0,2006,2.0,141000
120,6.0,61.0,7658,2.0,1.0,1.0,1.0,3.0,4.0,9,5,2005,1.0,576,0,2010,2.0,319900
50,6.0,48.0,12822,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2003,1.0,670,0,2009,2.0,239686
20,3.0,84.0,11096,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2006,1.0,826,0,2007,2.0,249700
190,8.0,33.0,4456,2.0,1.0,1.0,1.0,3.0,2.0,4,5,1920,1.0,0,0,2009,3.0,113000
20,6.0,66.0,7742,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1966,1.0,386,0,2007,2.0,127000
50,8.0,52.0,6240,2.0,1.0,1.0,1.0,3.0,1.0,6,6,1934,1.0,528,0,2006,2.0,114500
90,8.0,110.0,8472,1.0,3.0,2.0,2.0,4.0,3.0,5,5,1963,0.0,516,0,2010,2.0,110000
20,6.0,68.0,50271,2.0,2.0,4.0,1.0,3.0,1.0,9,5,1981,1.0,894,0,2006,2.0,385000
80,6.0,60.0,7134,2.0,1.0,2.0,2.0,3.0,1.0,5,5,1955,1.0,572,0,2007,2.0,130000
20,6.0,100.0,10175,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1964,1.0,576,0,2008,2.0,180500
60,6.0,89.0,11645,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2004,1.0,565,0,2006,2.0,196500
60,6.0,66.0,13682,2.0,3.0,3.0,1.0,3.0,1.0,10,5,2006,1.0,641,0,2006,3.0,438780
20,6.0,60.0,7200,2.0,1.0,2.0,1.0,3.0,1.0,5,7,1972,1.0,352,0,2008,2.0,124900
20,6.0,63.0,13072,2.0,1.0,1.0,1.0,9.0,1.0,6,5,2004,1.0,576,0,2006,3.0,158000
75,8.0,60.0,7200,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1920,0.0,288,0,2007,2.0,101000
120,6.0,44.0,6442,2.0,2.0,1.0,1.0,3.0,4.0,8,5,2006,1.0,484,0,2007,2.0,202500
70,8.0,50.0,10300,2.0,2.0,2.0,1.0,5.0,1.0,7,6,1921,1.0,480,0,2010,2.0,140000
60,6.0,76.0,9591,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2004,1.0,852,0,2007,2.0,317000
20,6.0,72.0,10665,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2003,1.0,558,0,2007,2.0,226000
30,8.0,47.0,4608,2.0,1.0,1.0,1.0,1.0,1.0,4,6,1945,1.0,220,0,2010,2.0,80000
50,6.0,81.0,15593,2.0,1.0,1.0,1.0,3.0,1.0,7,4,1953,1.0,667,0,2006,2.0,225000
20,6.0,95.0,13651,2.0,2.0,1.0,1.0,3.0,1.0,7,6,1973,1.0,516,0,2007,2.0,244000
20,6.0,69.0,7599,2.0,1.0,1.0,1.0,3.0,1.0,4,6,1982,1.0,360,0,2007,2.0,129500
60,6.0,74.0,10141,2.0,2.0,1.0,1.0,3.0,1.0,7,5,1998,1.0,427,0,2009,2.0,185000
20,6.0,85.0,10200,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1954,1.0,490,0,2010,2.0,144900
50,8.0,60.0,5790,2.0,1.0,1.0,1.0,3.0,1.0,3,6,1915,0.0,379,0,2010,2.0,107400
50,8.0,50.0,8635,2.0,1.0,1.0,1.0,3.0,1.0,5,5,1948,1.0,240,0,2008,2.0,127000
90,6.0,72.0,10778,2.0,1.0,1.0,1.0,3.0,3.0,4,5,1968,0.0,0,0,2010,2.0,136500
50,8.0,60.0,10440,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1910,1.0,440,0,2009,2.0,110000
60,6.0,100.0,13000,2.0,1.0,1.0,1.0,3.0,1.0,6,6,1968,1.0,509,0,2009,2.0,193500
120,8.0,32.0,4500,2.0,1.0,1.0,1.0,3.0,4.0,6,5,1998,1.0,405,0,2006,2.0,153500
20,6.0,78.0,10206,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,758,0,2008,2.0,245000
20,6.0,80.0,8892,2.0,2.0,1.0,1.0,3.0,1.0,5,5,1960,1.0,461,0,2007,4.0,126500
60,6.0,121.0,16059,2.0,1.0,1.0,1.0,3.0,1.0,8,5,1991,1.0,462,0,2006,2.0,260000
60,6.0,122.0,11911,2.0,3.0,1.0,1.0,3.0,1.0,6,5,2005,1.0,400,0,2009,2.0,174000
160,3.0,40.0,3951,2.0,1.0,1.0,1.0,3.0,4.0,6,5,2009,1.0,528,0,2009,3.0,164500
20,6.0,60.0,8070,2.0,1.0,1.0,1.0,3.0,1.0,4,5,1994,1.0,0,0,2007,2.0,123600
20,6.0,60.0,7200,2.0,1.0,1.0,1.0,3.0,1.0,4,5,1950,1.0,420,0,2006,2.0,109900
20,6.0,85.0,8500,2.0,1.0,1.0,1.0,3.0,1.0,5,3,1961,1.0,480,0,2006,2.0,98600
30,6.0,80.0,13360,2.0,2.0,3.0,1.0,3.0,1.0,5,7,1921,1.0,432,0,2009,2.0,163500
60,6.0,69.0,9337,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1997,1.0,684,0,2007,2.0,204750
20,6.0,78.0,10264,2.0,2.0,1.0,1.0,3.0,1.0,7,5,1999,1.0,472,0,2006,2.0,214000
20,6.0,73.0,10921,2.0,1.0,3.0,1.0,3.0,1.0,4,5,1965,1.0,432,0,2007,2.0,94750
30,6.0,85.0,10625,2.0,1.0,1.0,1.0,3.0,1.0,5,5,1920,0.0,366,0,2010,4.0,83000
20,6.0,77.0,9320,2.0,2.0,1.0,1.0,3.0,1.0,4,5,1959,1.0,0,0,2010,2.0,128950
60,6.0,77.0,9206,2.0,1.0,1.0,1.0,3.0,1.0,6,5,1985,1.0,476,0,2010,2.0,178000
90,6.0,64.0,7018,2.0,1.0,2.0,1.0,3.0,3.0,5,5,1979,1.0,410,0,2009,2.0,118964
20,6.0,94.0,10402,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2009,1.0,740,0,2010,2.0,198900
60,3.0,75.0,9375,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2003,1.0,648,0,2008,2.0,250000
30,8.0,60.0,10800,2.0,1.0,1.0,1.0,3.0,1.0,4,7,1885,1.0,273,0,2007,2.0,100000
20,8.0,50.0,6000,2.0,1.0,1.0,1.0,3.0,1.0,5,5,1948,1.0,250,0,2008,2.0,115000
50,8.0,85.0,8500,2.0,1.0,1.0,1.0,1.0,1.0,5,7,1919,0.0,0,0,2007,2.0,115000
20,6.0,105.0,11751,2.0,2.0,1.0,1.0,3.0,1.0,6,6,1977,1.0,546,0,2010,4.0,190000
50,6.0,75.0,9525,2.0,1.0,1.0,1.0,3.0,1.0,6,4,1954,1.0,325,0,2006,2.0,136900
60,6.0,77.0,9965,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2007,1.0,792,0,2007,3.0,383970
70,6.0,61.0,7259,2.0,2.0,1.0,2.0,3.0,1.0,6,8,1945,1.0,180,0,2007,2.0,259500
160,3.0,34.0,3230,2.0,1.0,1.0,1.0,3.0,4.0,6,5,1999,1.0,440,0,2007,2.0,176000
20,6.0,74.0,8536,2.0,1.0,1.0,1.0,3.0,1.0,5,5,2006,1.0,430,0,2007,3.0,155000
60,6.0,90.0,12376,2.0,1.0,1.0,1.0,3.0,1.0,7,5,1990,1.0,594,0,2010,2.0,320000
60,6.0,65.0,8461,2.0,1.0,1.0,1.0,3.0,1.0,6,5,2005,1.0,390,0,2006,3.0,163990
50,8.0,50.0,6060,2.0,1.0,1.0,1.0,3.0,1.0,4,5,1939,1.0,264,0,2007,2.0,100000
20,6.0,75.0,9464,2.0,1.0,1.0,1.0,3.0,1.0,6,7,1958,1.0,288,0,2008,2.0,136000
120,6.0,55.0,7892,2.0,1.0,1.0,1.0,3.0,4.0,6,5,1993,1.0,530,0,2008,2.0,153900
20,6.0,48.0,17043,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1979,1.0,435,0,2009,2.0,181000
190,8.0,60.0,6780,2.0,1.0,1.0,1.0,3.0,2.0,6,8,1935,0.0,0,0,2006,2.0,84500
45,8.0,55.0,4388,2.0,2.0,2.0,1.0,2.0,1.0,5,7,1930,1.0,0,0,2007,2.0,87000
60,6.0,69.0,7590,2.0,1.0,1.0,1.0,6.0,1.0,6,5,1966,1.0,453,0,2006,2.0,155000
20,6.0,69.0,8973,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1958,1.0,750,0,2006,2.0,150000
60,6.0,88.0,14200,2.0,1.0,1.0,1.0,3.0,1.0,7,6,1966,1.0,487,0,2006,2.0,226000
20,6.0,75.0,7388,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1959,1.0,624,0,2007,2.0,150750
20,6.0,78.0,10335,2.0,2.0,1.0,1.0,3.0,1.0,5,6,1968,1.0,440,0,2006,2.0,180000
20,6.0,80.0,10400,2.0,1.0,1.0,1.0,3.0,1.0,7,6,1970,1.0,530,0,2008,2.0,174000
90,6.0,82.0,11070,2.0,1.0,1.0,1.0,3.0,3.0,7,5,1988,1.0,766,0,2006,2.0,171000
60,6.0,73.0,9066,2.0,2.0,1.0,1.0,3.0,1.0,8,5,1999,1.0,660,0,2008,2.0,230000
60,6.0,65.0,15426,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1997,1.0,470,0,2009,2.0,231500
20,6.0,70.0,10500,2.0,1.0,1.0,1.0,3.0,1.0,4,5,1971,1.0,0,0,2010,6.0,115000
20,6.0,78.0,11645,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2005,1.0,660,0,2006,2.0,260000
50,6.0,71.0,8520,2.0,1.0,1.0,1.0,1.0,1.0,5,4,1952,1.0,720,0,2010,2.0,166000
20,6.0,78.0,10335,2.0,2.0,1.0,1.0,3.0,1.0,7,5,1999,1.0,577,0,2009,2.0,204000
90,8.0,70.0,9100,2.0,1.0,1.0,1.0,9.0,3.0,5,5,1963,1.0,504,0,2006,6.0,125000
30,8.0,51.0,6120,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1931,1.0,180,0,2009,2.0,105000
20,6.0,63.0,7500,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2004,1.0,0,0,2008,2.0,141000
20,6.0,120.0,10356,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1975,1.0,440,0,2007,2.0,122000
20,6.0,107.0,13891,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,866,0,2008,3.0,372402
30,8.0,84.0,11340,2.0,1.0,1.0,1.0,3.0,1.0,6,5,1923,1.0,312,0,2006,2.0,125000
50,6.0,60.0,9600,2.0,1.0,1.0,1.0,1.0,1.0,6,5,1924,0.0,0,0,2008,2.0,79000
20,6.0,60.0,7200,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1950,1.0,625,0,2006,2.0,109500
60,6.0,92.0,12003,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2009,1.0,680,0,2010,3.0,269500
60,3.0,100.0,12552,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2004,1.0,678,0,2010,2.0,254900
60,6.0,134.0,19378,2.0,2.0,3.0,1.0,3.0,1.0,7,5,2005,1.0,576,0,2006,3.0,320000
60,6.0,110.0,13688,2.0,2.0,1.0,1.0,3.0,1.0,9,5,2003,1.0,726,0,2008,2.0,412500
20,6.0,95.0,12182,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2005,1.0,532,0,2010,3.0,220000
45,6.0,55.0,5500,2.0,1.0,1.0,1.0,3.0,1.0,4,6,1956,1.0,0,0,2007,2.0,103200
40,8.0,40.0,5400,2.0,1.0,1.0,1.0,3.0,1.0,6,7,1926,1.0,216,0,2007,2.0,152000
190,6.0,62.0,10106,2.0,1.0,1.0,1.0,3.0,2.0,5,7,1940,1.0,0,0,2008,2.0,127500
60,6.0,86.0,10562,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,789,0,2007,3.0,325624
60,6.0,62.0,8244,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2004,1.0,440,0,2007,2.0,183500
20,6.0,141.0,31770,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1960,1.0,528,0,2010,2.0,215000
160,6.0,44.0,5306,2.0,2.0,1.0,1.0,3.0,4.0,7,7,1987,1.0,504,0,2006,2.0,239000
20,6.0,80.0,10197,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1961,1.0,504,0,2008,4.0,163000
20,6.0,47.0,12416,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1986,1.0,616,0,2008,2.0,184000
20,6.0,84.0,12615,2.0,1.0,1.0,1.0,3.0,1.0,6,7,1950,1.0,576,0,2007,2.0,243000
60,6.0,97.0,10029,2.0,2.0,1.0,1.0,3.0,1.0,6,5,1988,1.0,521,0,2007,2.0,211000
20,6.0,63.0,17423,2.0,2.0,1.0,1.0,3.0,1.0,9,5,2008,1.0,1166,0,2009,3.0,501837
30,8.0,60.0,8520,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1923,1.0,480,0,2007,2.0,100000
70,6.0,54.0,7588,2.0,1.0,1.0,1.0,3.0,1.0,7,6,1920,1.0,216,0,2006,2.0,200100
20,6.0,60.0,9060,2.0,1.0,1.0,1.0,1.0,1.0,5,6,1957,1.0,252,0,2007,2.0,120000
50,8.0,63.0,11426,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2003,1.0,484,0,2008,2.0,200000
50,6.0,92.0,7438,2.0,2.0,1.0,1.0,5.0,1.0,5,8,1908,1.0,576,0,2006,2.0,127000
75,8.0,90.0,22950,2.0,3.0,1.0,1.0,1.0,1.0,10,9,1892,1.0,840,0,2006,2.0,475000
50,6.0,60.0,10410,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1916,1.0,180,0,2009,2.0,135000
90,6.0,64.0,7018,2.0,1.0,2.0,1.0,2.0,3.0,5,5,1979,1.0,528,0,2009,2.0,153337
120,6.0,41.0,4923,2.0,1.0,1.0,1.0,3.0,4.0,8,5,2001,1.0,682,0,2008,2.0,286000
70,6.0,70.0,10570,2.0,1.0,2.0,2.0,3.0,1.0,8,8,1932,1.0,440,0,2007,2.0,315000
20,6.0,68.0,9017,2.0,2.0,1.0,1.0,3.0,1.0,7,5,1999,1.0,666,0,2009,2.0,192000
20,6.0,60.0,7180,2.0,2.0,1.0,1.0,3.0,1.0,5,7,1972,1.0,352,0,2008,2.0,127000
20,6.0,79.0,9416,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2007,1.0,786,0,2007,3.0,311872
75,6.0,174.0,25419,2.0,1.0,1.0,1.0,1.0,1.0,8,4,1918,1.0,795,512,2006,2.0,235000
75,8.0,92.0,5520,2.0,1.0,1.0,1.0,3.0,1.0,6,6,1912,1.0,0,0,2009,2.0,104000
20,6.0,76.0,9591,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2004,1.0,856,0,2009,2.0,274900
20,8.0,80.0,8546,2.0,1.0,1.0,1.0,3.0,1.0,4,5,2003,1.0,440,0,2010,2.0,140000
20,6.0,75.0,10125,2.0,1.0,1.0,1.0,3.0,1.0,6,6,1977,1.0,473,0,2008,2.0,171500
50,6.0,50.0,7000,2.0,1.0,1.0,1.0,1.0,1.0,6,6,1924,1.0,398,0,2006,4.0,112000
50,8.0,50.0,3500,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1947,1.0,240,0,2009,2.0,110000
20,6.0,99.0,11851,2.0,1.0,1.0,1.0,3.0,1.0,7,5,1990,1.0,500,0,2009,2.0,180500
20,6.0,40.0,13673,2.0,2.0,1.0,1.0,9.0,1.0,5,5,1962,1.0,349,0,2007,2.0,143900
20,6.0,75.0,8250,2.0,1.0,1.0,1.0,3.0,1.0,6,7,1964,1.0,504,0,2008,2.0,145000
30,6.0,67.0,5604,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1925,0.0,0,0,2008,2.0,98000
20,6.0,83.0,10420,2.0,1.0,1.0,1.0,3.0,1.0,6,5,2009,1.0,460,0,2010,2.0,186000
60,3.0,72.0,8640,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2009,1.0,644,0,2009,3.0,252678
20,6.0,43.0,13568,2.0,3.0,1.0,1.0,3.0,1.0,5,5,1995,1.0,576,0,2006,2.0,156000
20,6.0,72.0,10011,2.0,2.0,1.0,1.0,3.0,1.0,5,6,1957,1.0,447,0,2006,2.0,134450
20,6.0,65.0,8450,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2004,1.0,484,0,2008,2.0,210000
70,8.0,57.0,9906,2.0,1.0,1.0,1.0,3.0,1.0,4,4,1925,0.0,210,0,2006,2.0,107000
120,6.0,43.0,3010,2.0,1.0,1.0,1.0,3.0,4.0,7,5,2005,1.0,438,0,2006,3.0,167240
20,6.0,73.0,8990,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2006,1.0,675,0,2006,3.0,204900
60,6.0,85.0,11475,2.0,1.0,1.0,1.0,5.0,1.0,6,6,1975,1.0,434,0,2006,2.0,179900
20,6.0,70.0,10500,2.0,1.0,1.0,1.0,3.0,1.0,4,6,1971,1.0,576,0,2009,2.0,97000
20,6.0,103.0,13472,2.0,1.0,1.0,1.0,3.0,1.0,10,5,2003,1.0,968,0,2009,2.0,386250
60,6.0,82.0,9950,2.0,2.0,1.0,1.0,3.0,1.0,7,5,1995,1.0,721,0,2007,2.0,290000
20,6.0,70.0,8521,2.0,1.0,1.0,1.0,2.0,1.0,5,5,1967,1.0,336,0,2010,2.0,125000
120,6.0,43.0,3182,2.0,1.0,1.0,1.0,3.0,4.0,7,5,2005,1.0,430,0,2009,2.0,192500
20,6.0,73.0,8760,2.0,1.0,1.0,1.0,3.0,1.0,6,6,1959,1.0,312,0,2010,2.0,148000
60,6.0,174.0,15138,2.0,2.0,1.0,1.0,3.0,1.0,8,5,1995,1.0,810,0,2009,2.0,403000
20,6.0,75.0,10650,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1976,1.0,308,0,2010,2.0,128200
160,8.0,21.0,1680,2.0,1.0,1.0,1.0,3.0,4.0,6,3,1971,1.0,264,0,2008,2.0,89500
20,6.0,65.0,8773,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2004,1.0,494,0,2010,2.0,185500
20,6.0,93.0,12030,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,818,0,2007,3.0,318000
50,6.0,52.0,8741,2.0,1.0,1.0,1.0,3.0,1.0,6,4,1945,1.0,220,0,2010,2.0,113000
20,3.0,75.0,9000,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2008,1.0,750,0,2010,2.0,262500
30,8.0,40.0,3880,2.0,1.0,1.0,1.0,3.0,1.0,5,9,1945,1.0,0,0,2007,2.0,110500
50,8.0,63.0,5000,2.0,1.0,1.0,1.0,3.0,1.0,5,4,1900,0.0,352,0,2006,2.0,79000
160,6.0,75.0,10762,2.0,1.0,1.0,1.0,3.0,4.0,6,6,1980,1.0,288,0,2009,2.0,120000
20,6.0,80.0,10400,2.0,1.0,1.0,1.0,3.0,1.0,7,5,1988,1.0,604,0,2006,2.0,241500
190,8.0,69.0,9142,2.0,1.0,1.0,1.0,3.0,2.0,6,8,1910,0.0,440,0,2006,2.0,137000
20,6.0,75.0,11310,2.0,1.0,1.0,1.0,3.0,1.0,6,5,1954,1.0,451,0,2006,2.0,140000
60,6.0,72.0,11317,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2003,1.0,500,0,2007,2.0,180000
30,6.0,55.0,5350,2.0,2.0,1.0,1.0,3.0,1.0,3,2,1940,1.0,0,0,2010,2.0,76500
120,8.0,44.0,4750,2.0,2.0,3.0,2.0,3.0,4.0,8,5,2006,1.0,538,0,2007,2.0,235000
60,6.0,65.0,8366,2.0,2.0,1.0,1.0,3.0,1.0,6,5,2004,1.0,520,0,2008,2.0,173000
80,6.0,85.0,9350,2.0,1.0,1.0,1.0,3.0,1.0,6,7,1964,1.0,309,0,2007,1.0,158000
20,6.0,70.0,8400,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1957,1.0,294,0,2010,2.0,145000
60,6.0,66.0,8738,2.0,2.0,1.0,1.0,3.0,1.0,7,5,1999,1.0,429,0,2006,2.0,230000
60,3.0,64.0,8791,2.0,2.0,1.0,1.0,3.0,1.0,6,5,2003,1.0,673,0,2008,2.0,207500
20,6.0,68.0,8814,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2006,1.0,660,0,2009,2.0,220000
60,6.0,80.0,12435,2.0,1.0,1.0,1.0,3.0,1.0,7,5,2001,1.0,564,0,2008,2.0,231500
20,8.0,70.0,12702,2.0,1.0,1.0,1.0,3.0,1.0,5,5,1956,1.0,308,0,2008,2.0,97000
80,6.0,120.0,19296,2.0,1.0,1.0,1.0,1.0,1.0,6,5,1962,1.0,884,0,2009,2.0,176000
60,6.0,69.0,9588,2.0,2.0,1.0,1.0,3.0,1.0,8,5,2007,1.0,868,0,2007,3.0,276000
80,6.0,88.0,8471,2.0,2.0,1.0,1.0,3.0,1.0,6,7,1977,1.0,492,0,2006,2.0,151000
50,8.0,50.0,5500,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1929,1.0,484,0,2010,2.0,130000
30,8.0,30.0,5232,2.0,4.0,2.0,1.0,1.0,1.0,5,5,1925,0.0,504,0,2008,2.0,73000
20,6.0,78.0,12090,2.0,2.0,1.0,1.0,3.0,1.0,6,6,1981,1.0,576,0,2008,2.0,175500
60,6.0,70.0,11207,2.0,2.0,3.0,1.0,3.0,1.0,6,5,1997,1.0,413,0,2006,2.0,185000
75,6.0,60.0,8400,2.0,1.0,2.0,2.0,3.0,1.0,5,8,1939,1.0,240,0,2008,2.0,179500
30,8.0,71.0,6900,2.0,1.0,1.0,1.0,3.0,1.0,5,6,1940,1.0,924,0,2008,2.0,120500
60,3.0,84.0,10728,2.0,1.0,1.0,1.0,3.0,1.0,8,5,2006,1.0,1053,0,2006,3.0,266000
20,6.0,73.0,39104,2.0,2.0,4.0,3.0,3.0,1.0,7,7,1954,1.0,439,0,2008,2.0,241500
60,6.0,92.0,11764,2.0,2.0,1.0,1.0,3.0,1.0,8,7,1999,1.0,671,0,2010,2.0,290000
20,6.0,80.0,9600,2.0,1.0,1.0,1.0,2.0,1.0,6,6,1958,1.0,338,0,2009,2.0,139000
20,6.0,76.0,8314,2.0,1.0,1.0,1.0,3.0,1.0,5,7,1982,1.0,264,0,2007,2.0,124500
50,6.0,55.0,7264,2.0,1.0,1.0,1.0,3.0,1.0,7,7,1925,0.0,672,0,2009,2.0,205000
20,6.0,129.0,9196,2.0,2.0,1.0,1.0,3.0,1.0,7,5,2003,1.0,573,0,2010,2.0,201000
20,6.0,140.0,19138,2.0,1.0,1.0,1.0,3.0,1.0,4,5,1951,1.0,400,0,2010,2.0,141000
20,6.0,107.0,14450,2.0,1.0,1.0,1.0,3.0,1.0,9,5,2006,1.0,732,0,2007,3.0,415298
60,6.0,83.0,10005,2.0,1.0,1.0,1.0,3.0,1.0,7,5,1977,1.0,505,0,2008,2.0,192000
